[2016-05-24 06:18:58] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:58] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:58] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:58] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:58] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:58] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:58] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:58] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:58] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:58] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:58] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:58] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:58] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:58] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:59] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:59] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:59] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:59] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:59] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:59] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:59] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:59] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:59] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:59] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:59] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:59] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:59] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:59] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:59] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:59] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:59] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:59] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:59] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:00] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:00] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:00] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:00] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:00] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:00] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:00] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:00] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:00] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:00] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:00] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:00] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:00] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:00] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:00] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:00] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:00] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:00] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:00] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:01] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:01] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:01] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:01] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:01] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:01] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:01] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:01] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:01] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:01] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:01] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:01] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:01] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:01] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:01] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:01] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:19:01] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
